"","ぶつかる","to bump into, to run into, to collide with, to hit, to strike; to encounter, to meet with, to come upon, to face, to run up against, to be confronted with; to clash (of opinions, people, etc.), to conflict, to be at odds (with); to clash (of events), to fall (on), to occur at the same time (as)"
"打付ける","ぶつける","to hit (e.g. one's head), to strike, to crash into; to throw (e.g. a ball, a question, a demand); to express, to vent (e.g. one's anger)"
"","ぶつぶつ","grunt, grumble, complaint, mutter; pimples, spots, eruption, rash; cutting into small pieces; simmering"
"部品","ぶひん","parts, accessories, components"
"","ブラウス","blouse"
"ぶら下げる","ぶらさげる","to hang, to suspend, to dangle, to swing, to carry"
"","ブラシ","brush"
"","ブローチ","brooch"
"分解","ぶんかい","disassembly, dismantling, disaggregating, taking apart, breaking up, analysis, parsing; decomposition, resolution, disintegration, degradation; factorization"
"文献","ぶんけん","literature, books (reference), document"
"文芸","ぶんげい","literature; the arts, art and literature, liberal arts"
"分数","ぶんすう","fraction"
"文体","ぶんたい","literary style; form of (written) language (e.g. classical, modern)"
"分布","ぶんぷ","distribution, allocation"
"文房具","ぶんぼうぐ","stationery"
"文脈","ぶんみゃく","context (of a passage), line of thought; context, environment, circumstances"
"分量","ぶんりょう","amount, quantity; measuring, weighing"
"分類","ぶんるい","classification, categorization, sorting"
"","プラスチック","plastic"
"","プラットホーム","platform"
"","プリント","print, printing, (printed) copy; handout, flyer"
"","プログラム","program (of events, music, etc.), programme; program (booklet), brochure, pamphlet; (computer) program, programming"
"閉会","へいかい","closure (of a ceremony, event, meeting, etc.)"
"平気","へいき","coolness, calmness, composure, unconcern; all right, fine, OK, okay"
"並行","へいこう","going side-by-side, going abreast; running concurrently, occurring at the same time, keeping pace with"
"平日","へいじつ","weekday, ordinary days (i.e. non-holiday); kanji radical 73"
"兵隊","へいたい","soldier, sailor"
"平凡","へいぼん","ordinary, common, commonplace, mediocre, unremarkable, undistinguished, uneventful"
"平野","へいや","plain, open field"
"凹む","へこむ","to be dented, to be indented, to yield, to give, to sink, to collapse, to cave in; to be beaten, to be overwhelmed, to yield, to give in, to give up; to be disheartened, to feel down, to feel depressed; to suffer a loss, to lose"
"臍","へそ","navel, belly button; protrusion or depression in the middle of an object; center, centre, most important part, main point"
"隔てる","へだてる","to separate (by distance, time, etc.), to isolate, to partition, to divide; to interpose, to have between; to alienate, to estrange"
"","ヘリコプター","helicopter"
"減る","へる","to decrease (in size or number), to diminish, to abate"
"編集","へんしゅう","editing, compilation"
"別荘","べっそう","holiday house, vacation home, villa; prison, jail"
"別々","べつべつ","separate, respective"
"","ベテラン","veteran (in a particular field), person with a lot of experience, old hand"
"便所","べんじょ","toilet, lavatory, water closet, restroom, bathroom"
"","ペン","pen"
"","ペンチ","cutting pliers, lineman's pliers, combination pliers"
"方角","ほうがく","direction, way; point of the compass, cardinal direction, bearing; method, means, approach"
"箒","ほうき","broom"
"方言","ほうげん","dialect, provincialism"
"方針","ほうしん","policy, course, plan (of action), principle; magnetic needle"
"包装","ほうそう","packing, wrapping"
"法則","ほうそく","law, rule"
"包帯","ほうたい","bandage, dressing"
"包丁","ほうちょう","kitchen knife, carving knife; cooking, food"
"方程式","ほうていしき","equation, formula; method for solving a problem, set way of achieving a particular result"
"方面","ほうめん","direction, district, area; field (e.g. of study), sphere, quarter, aspect, angle"
"放る","ほうる","to throw, to fling, to hurl, to toss; to neglect, to abandon, to leave alone, to give up on, to leave undone, to leave unfinished"
"朗らか","ほがらか","cheerful, merry, sunny, melodious; bright (sky, day, etc.), fine, clear"
"保健","ほけん","preservation of health, hygiene, sanitation"
"干す","ほす","to air, to dry, to desiccate; to drain (off); to drink up; to deprive of a role, job, etc."
"北極","ほっきょく","North Pole; the Arctic"
"解く","ほどく","to undo, to untie, to unfasten, to unlace, to unravel, to loosen, to unpack"
"堀","ほり","moat, fosse; canal, ditch"
"彫る","ほる","to carve, to engrave, to sculpt, to chisel; to tattoo"
"掘る","ほる","to dig, to excavate, to hollow; to delve into; to dig up (e.g. vegetables); (for two men) to have anal sex"
"本部","ほんぶ","headquarters, head office, main office"
"本来","ほんらい","originally, primarily; essentially, intrinsically, naturally, by nature, in (and of) itself; proper, rightful, legal, normal"
"望遠鏡","ぼうえんきょう","telescope"
"坊さん","ぼうさん","Buddhist priest, monk; boy"
"防止","ぼうし","prevention, check"
"膨大","ぼうだい","huge, vast, enormous, colossal, extensive, large; swelling, expansion"
"防犯","ぼうはん","prevention of crime; security (device, camera, etc.)"
"坊や","ぼうや","boy, son, child; mere boy, stripling, greenhorn"
"牧場","ぼくじょう","farm (livestock), stock farm, ranch, station; pasture, meadow, grazing land"
"牧畜","ぼくちく","stock-farming, livestock farming, cattle breeding"
"募集","ぼしゅう","recruitment, invitation, selection, advertisement, taking applications; raising (funds, donations, etc.), collection, subscription, solicitation; flotation (of shares, loans, etc.)"
"坊ちゃん","ぼっちゃん","(another's) son, boy, young master; green young man from a well-to-do family, young man innocent of the ways of the world"
"襤褸","ぼろ","rag, scrap, tattered clothes; fault (esp. in a pretense, pretence), defect; run-down, shabby, junky"
"盆","ぼん","tray; family, household; O-Bon, Bon Festival, Lantern Festival, Festival of the Dead; gambler's den"
"盆地","ぼんち","basin (e.g. between mountains)"
"","ボーナス","bonus"
"","ポスター","poster"
"","まあまあ","so-so, passable; now, now; my, my"
"枚数","まいすう","the number of flat things; win-loss difference which influences the ranking of wrestlers"
"毎度","まいど","each time, always, often; thank you for your continued patronage"
"","マイナス","minus, subtraction, taking away; negative (number); deficit, loss; disadvantage, drawback, handicap; negative charge, cathode, negative terminal, negative pole; minus sign, negative sign; negative (image, effect, thinking, etc.), bad; negative (test result)"
"蒔く","まく","to sow, to plant, to seed; to sow (the seeds of; e.g. conflict); to sprinkle (gold or silver powder on lacquerware)"
"撒く","まく","to scatter, to sprinkle, to strew; to distribute (handbills, etc.), to spread (rumours, etc.); to give the slip, to throw off, to shake off, to lose"
"巻く","まく","to wind, to coil, to roll, to wear (e.g. turban, scarf); to envelope, to shroud; to outflank, to skirt; to link (verse); to move ahead (three hours, etc.), to move up"
"枕","まくら","pillow, bolster; introduction (e.g. to a rakugo story), lead-in"
"曲げる","まげる","to bend, to crook, to bow, to curve, to curl; to lean, to tilt, to incline, to slant; to bend (the truth), to distort, to twist, to pervert; to yield (a point), to depart (from a principle), to ignore (what one really thinks); to pawn"
"","まごまご","confused, flustered, at a loss"
"摩擦","まさつ","friction, rubbing, chafing; discord, friction, strife, conflict"
"混ざる","まざる","to be mixed, to be blended with, to associate with, to mingle with, to join"
"混じる","まじる","to be mixed, to be blended with, to be combined; to associate with, to mingle with, to interest, to join"
"","マスク","(face) mask; (facial) features, looks; mask (e.g. for circuit etching)"
"混ぜる","まぜる","to mix, to stir, to blend"
"跨ぐ","またぐ","to step over, to step across, to stride over, to stride across, to cross; to stretch over, to span, to bridge, to saddle, to straddle"
"又は","または","or, either ... or ..."
"待合室","まちあいしつ","waiting room"
"待ち合わせる","まちあわせる","to rendezvous, to meet at a prearranged place and time, to arrange to meet"
"街角","まちかど","street corner"
"真っ暗","まっくら","total darkness, pitch dark; bleak future, poor prospects"
"真っ黒","まっくろ","pitch black"
"真っ青","まっさお","deep blue, bright blue; ghastly pale, pallid, white as a sheet"
"真っ先","まっさき","the head, the foremost, beginning, the very front"
"真っ白","まっしろ","pure white; blank (e.g. mind, paper)"
"祭る","まつる","to deify, to enshrine; to pray, to worship"
"纏まる","まとまる","to find resolution, to be settled, to be agreed on, to be completed; to be collected, to be assembled, to be brought together; to be well arranged, to be in order, to be unified, to take shape, to be coherent"
"纏める","まとめる","to collect, to put (it all) together, to integrate, to consolidate, to unify; to summarize, to aggregate; to bring to a conclusion, to finalize, to settle, to put in order; to establish, to decide"
"窓口","まどぐち","counter, window, teller window, ticket window; contact person, point of contact"
"真似る","まねる","to mimic, to imitate"
"","マフラー","(thick) scarf, muffler; muffler (for a vehicle exhaust), silencer"
"眩しい","まぶしい","dazzling, radiant"
"瞼","まぶた","eyelid"
"間もなく","まもなく","soon, shortly, before long, in a short time, in a little while; having no time to ..., with no time to ..."
"","マラソン","marathon, long-distance race"
"丸い","まるい","round, circular, spherical; curved, smooth; harmonious, calm, peaceful, amiable, amicable"
"稀","まれ","rare, seldom"
"回り道","まわりみち","detour, diversion"
"満員","まんいん","full house, no vacancy, sold out, standing room only, full (of people), crowded"
"","マンション","condominium (usu. mid or high-rise), apartment building, apartment house, block of flats, apartment, flat"
"満点","まんてん","perfect score, full marks; extremely, very, quite"
"見送る","みおくる","to see someone off (at a station, an airport, etc.), to escort (e.g. home); to follow something with one's eyes until it is out of sight; to let pass, to pass up (an opportunity etc.), to let a pitch go by (baseball), to watch a batted ball go into the stands; to shelve (a plan, deliberation on a bill, etc.), to postpone; to have someone related or close to you die, to bury someone; to take care of someone until he dies; to wait and see, to continue (e.g. in legal contexts)"
"見下ろす","みおろす","to overlook, to command a view of, to look down on; to despise, to look down on"
"見かけ","みかけ","outward appearance; apparent"
"三日月","みかづき","new moon, crescent moon"
"岬","みさき","cape (on coast)"
"","ミシン","sewing machine"
"惨め","みじめ","miserable, wretched, unhappy, sad, pitiable"
"店屋","みせや","store, shop"
"御手洗","みたらし","font of purifying water placed at the entrance of a shrine"
"見出し","みだし","heading, headline, title, caption; index; headword"
"道順","みちじゅん","route, way, course, directions"
"見っともない","みっともない","shameful, disgraceful, indecent, unseemly, unbecoming, improper"
"見つかる","みつかる","to be found, to be discovered"
"見つける","みつける","to discover, to find (e.g. an error in a book), to come across, to detect, to spot; to locate, to find (e.g. something missing), to find fault; to be used to seeing, to be familiar with"
"見直す","みなおす","to look at again; to re-examine (policy, estimate, plan, etc.), to review; to get a better opinion of, to see in a more positive light; to improve, to recover (market, illness, etc.)"
"見慣れる","みなれる","to become used to seeing, to be familiar with"
"醜い","みにくい","ugly, unattractive, bad-looking; unsightly, unseemly, disgraceful, shameful, dishonorable"
"実る","みのる","to bear fruit, to ripen; to produce (good) results, to show results, to bear fruit"
"身分","みぶん","(social) standing, status, position, rank; identity, birth, origin; one's circumstances, one's means"
"見本","みほん","sample, specimen, pattern; model, example"
"見舞う","みまう","to ask after (someone's health), to visit; to attack, to strike, to meet with misfortune, to suffer an attack"
"未満","みまん","less than, under, below"
"苗字","みょうじ","surname, family name, last name"
"","ミリ","milli-, 10^-3; millimetre, millimeter"
"診る","みる","to examine (medically)"
"民間","みんかん","private, non-governmental, non-official, civilian, civil; folk, popular"
"民謡","みんよう","folk song, popular song"
"向かう","むかう","to face; to go towards, to head towards"
"剥く","むく","to peel, to skin, to pare, to hull, to strip; to bare (teeth, fangs), to open wide (eyes)"
"無限","むげん","infinity, infinitude, eternity; infinite, limitless"
"蒸し暑い","むしあつい","humid, sultry"
"無地","むじ","plain, unfigured, patternless, solid (color)"
"矛盾","むじゅん","contradiction, inconsistency"
"蒸す","むす","to steam (food, towel, etc.); to be hot and humid, to be sultry"
"無数","むすう","innumerable, countless, numberless"
"紫","むらさき","purple, violet; purple gromwell (Lithospermum erythrorhizon), red gromwell, red-root gromwell; soy sauce"
"群れ","むれ","group, crowd, flock, herd, bevy, school, swarm, cluster (e.g. of stars), clump, pack (e.g. of dogs)"
"姪","めい","niece"
"名作","めいさく","masterpiece"
"名刺","めいし","business card"
"名詞","めいし","noun"
"名所","めいしょ","famous place; name of a part (of an instrument, etc.); name and address"
"迷信","めいしん","superstition, superstitious belief"
"命ずる","めいずる","to order, to command; to appoint"
"名物","めいぶつ","famous product, special product, speciality, specialty"
"銘々","めいめい","each, individual"
"目上","めうえ","superior, superiors, senior"
"恵まれる","めぐまれる","to be blessed with, to be rich in, to abound in"
"巡る","めぐる","to go around; to return; to surround; to concern (usu. of disputes)"
"目指す","めざす","to aim at (for, to do, to become), to try for, to have an eye on; to go toward, to head for"
"目覚まし","めざまし","alarm clock; waking up, keeping oneself awake; type of candy given to a child after it wakes up from a nap"
"目下","めした","subordinate, subordinates, inferior, inferiors, junior"
"目印","めじるし","mark (for quick identification or recognition), sign; landmark, guide; trademark"
"目立つ","めだつ","to be conspicuous, to stand out"
"目茶苦茶","めちゃくちゃ","absurd, unreasonable, nonsensical, preposterous, incoherent; extreme, senseless, reckless, wanton; disorderly, chaotic, confused, messy; incredibly, really, so, super"
"","めっきり","remarkably, noticeably, considerably, appreciably"
"目出度い","めでたい","happy, auspicious, propitious, joyous; naive"
"","メニュー","menu; schedule, program, programme; (computer) menu"
"目眩","めまい","dizziness, giddiness, vertigo"
"目安","めやす","criterion, standard, yardstick, reference, aim; rough estimate, approximation"
"面積","めんせき","area (measurement), square measure, size (of land), floor space"
"面接","めんせつ","interview (e.g. for a job)"
"免税","めんぜい","tax exemption, duty exemption"
"面倒くさい","めんどくさい","bothersome, tiresome, bother to do"
"","メーター","meter, gauge; metre (i.e. 100 cm), meter; animator"
"儲かる","もうかる","to be profitable, to yield a profit"
"儲ける","もうける","to profit, to get, to earn, to gain; to have (bear, beget) a child; to have a stroke of luck"
"申し訳ない","もうしわけない","I'm sorry, (it's) inexcusable, I feel regretful, I feel guilty; thank you very much (for help, etc.)"
"木材","もくざい","lumber, timber, wood"
"目次","もくじ","table of contents, contents"
"潜る","もぐる","to dive (into or under water); to get under, to get into, to get in, to creep into, to crawl under, to bury oneself, to burrow into, to dig oneself into, to snuggle under; to hide oneself (esp. from the government), to conceal oneself, to go underground"
"若しかしたら","もしかしたら","perhaps, maybe, perchance, by some chance, by any chance"
"若しかすると","もしかすると","perhaps, possibly, maybe, by some chance"
"凭れる","もたれる","to lean against, to lean on, to recline on; to lie heavy (on the stomach), to be uneasily digested"
"","モダン","modern; lug arm tips (on glasses), temple tips"
"餅","もち","mochi, (sticky) rice cake"
"勿体ない","もったいない","wasteful, a waste; too good, more than one deserves, unworthy of; impious, profane, sacrilegious"
"","モデル","model, dummy, mock-up; model (profession), fashion model; model (of a vehicle, machine, etc.), version; model (e.g. mathematical); model (for a fictional character, place, etc.), inspiration; model (in model theory)"
"元々","もともと","originally, from the start, from the beginning, from the outset, by nature; none the worse (for), (coming out) even, in the same position (as before)"
"物置","ものおき","storage room, storeroom, lumber room"
"物語る","ものがたる","to tell (a story), to give an account of (an event, experience, etc.), to relate, to recount; to tell of, to show, to indicate, to prove, to attest to"
"物差し","ものさし","ruler, measure"
"物凄い","ものすごい","terrific, staggering, tremendous, incredible, extreme; frightful, ghastly, horrific, terrible, awful, gruesome, eerie"
"","モノレール","monorail"
"揉む","もむ","to rub, to crumple; to massage; to argue, to have a heated discussion; to train, to coach; to jostle, to crowd, to shake, to rock; to have various experiences (out in the world)"
"燃やす","もやす","to burn; to burn with (emotion, feeling), to be fired up"
"催し","もよおし","event, festivities, function, social gathering, auspices, opening, holding (a meeting)"
"盛る","もる","to serve (in a bowl, on a plate, etc.), to dish out, to dish up, to fill (a bowl) with; to pile up, to heap up, to fill up, to stack up; to administer (medicine, poison), to dose out, to prescribe; to put into (e.g. information in a report, meaning in a statement); to mark out (e.g. scale), to graduate (e.g. thermometer); to exaggerate, to apply heavy makeup"
"問答","もんどう","questions and answers, dialogue"
"","モーター","motor"
"喧しい","やかましい","noisy, loud, clamorous, boisterous; much talked of, much-discussed, vexed; strict, severe, stern; particular, fussy, fastidious, fault-finding, carping"
"夜間","やかん","night, nighttime"
"薬缶","やかん","kettle"
"役者","やくしゃ","actor, actress; man of wits, clever person, cunning fellow"
"役所","やくしょ","government office, public office"
"訳す","やくす","to translate, to interpret"
"役人","やくにん","government official"
"薬品","やくひん","medicine, chemicals"
"役目","やくめ","duty, role, function"
"火傷","やけど","burn, scald"
"夜行","やこう","walking around at night, night travel; night train"
"矢印","やじるし","arrow (symbol); (romantic) interest (for a certain person), direction (of one's attention, etc.)"
"矢鱈","やたら","indiscriminately, blindly, at random, recklessly, thoughtlessly, excessively, profusely; indiscriminate, random, excessive"
"薬局","やっきょく","pharmacy, drugstore, chemist's (shop); hospital pharmacy, dispensary"
"遣っ付ける","やっつける","to beat, to attack (an enemy), to do away with, to finish off"
"矢っ張り","やっぱり","as expected, sure enough, just as one thought; after all (is said and done), in the end, as one would expect, in any case; too, also, as well, likewise, (not) either; still, as before; all the same, even so, still, nonetheless"
"家主","やぬし","landlord, landlady; house owner, home owner, head of the household"
"破く","やぶく","to tear, to rip"
"破れる","やぶれる","to get torn, to tear, to rip, to break, to wear out; to be broken off (of negotiations, etc.), to break down, to collapse, to fall into ruin"
"やむを得ない","やむをえない","cannot be helped, unavoidable"
"柔らかい","やわらかい","soft, tender, pliant, supple, limber, limp; gentle, mild, mellow; informal, light, flexible (e.g. thinking)"
"遊園地","ゆうえんち","amusement park"
"夕刊","ゆうかん","evening paper"
"友好","ゆうこう","friendship"
"郵送","ゆうそう","mailing, posting"
"夕立","ゆうだち","(sudden) evening shower (rain)"
"夕日","ゆうひ","evening sun, setting sun"
"悠々","ゆうゆう","quiet, calm, leisurely, composed; easily, comfortably, without difficulty; distant, far-off, boundless, endless, eternal"
"有料","ゆうりょう","fee-charging, paid, not free; toll road"
"浴衣","ゆかた","yukata (light cotton kimono worn in the summer or used as a bathrobe)"
"輸血","ゆけつ","blood transfusion"
"湯気","ゆげ","steam, vapour, vapor"
"輸送","ゆそう","transport, transportation"
"油断","ゆだん","negligence, carelessness, inattention, unpreparedness"
"茹でる","ゆでる","to boil (something in hot water); to treat with medicinal steam (a swelling, etc.)"
"湯のみ","ゆのみ","teacup"
"緩い","ゆるい","loose; lenient, lax; gentle (curve, slope, etc.); slow, weak; soft, not firm; difficult, hard"
"溶岩","ようがん","lava"
"容器","ようき","container, receptacle, vessel, packaging"
"用語","ようご","term, terminology; wording, choice of words, phraseology"
"要旨","ようし","point, essentials, gist, summary, fundamentals"
"幼児","ようじ","young child, toddler; child over 1 but not yet of school age"
"容積","ようせき","capacity, volume"
"幼稚","ようち","infancy; childish, infantile, immature, primitive"
"幼稚園","ようちえん","kindergarten"
"用途","ようと","use, service, purpose"
"洋品店","ようひんてん","shop that handles Western-style apparel and accessories"
"養分","ようぶん","nourishment, nutrient"
"羊毛","ようもう","wool"
"漸く","ようやく","finally, at last; barely, narrowly, hardly, only just; gradually, little by little, by degrees"
"要領","ようりょう","point, gist, essentials, tenets, outline; knack, trick, the ropes"
"欲張り","よくばり","greed, avarice, covetousness, greedy person"
"余計","よけい","extra, more, too much, too many, excessive, superfluous, spare, surplus; unnecessary, needless, uncalled-for, unwanted, uninvited; all the more, even more"
"寄越す","よこす","to send, to forward; to hand over (e.g. money)"
"汚す","よごす","to pollute, to contaminate, to soil, to make dirty, to stain; to disgrace, to dishonour, to dishonor, to defile"
"寄せる","よせる","to come near, to let someone approach; to bring near, to bring together, to collect, to gather; to deliver (opinion, news, etc.), to send (e.g. a letter), to contribute, to donate; to let someone drop by; to add (numbers); to have feelings for (love, goodwill, trust, etc.); to rely upon for a time, to depend on; to use as a pretext; to put aside; to press, to push, to force; to include, to welcome (in a group), to let in"
"余所","よそ","another place, somewhere else, strange parts; outside (one's family or group), someone else, other people; not caring for, being indifferent to, taking little notice of, ignoring, neglecting"
"酔っ払い","よっぱらい","drunkard"
"四つ角","よつかど","four corners; crossroads, intersecting street, street corner"
"予備","よび","reserve, spare; preparation, preliminaries"
"呼びかける","よびかける","to call out to, to hail, to address; to appeal"
"呼び出す","よびだす","to summon, to call (e.g. phone), to convene, to decoy, to lure; to invoke (e.g. subroutine), to call, to open (e.g. a file)"
"蘇る","よみがえる","to be resurrected, to be resuscitated, to be rehabilitated, to be revived, to be refreshed, to be restored; to be recalled (e.g. memories), to be brought back"
"依る","よる","to be due to, to be caused by; to depend on, to turn on; to be based on, to come from; to be based at (a location, an organization), to be headquartered at"
"喜び","よろこび","joy, delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations"
"喜ぶ","よろこぶ","to be delighted, to be glad, to be pleased; to congratulate; to gratefully accept"
"来日","らいにち","arrival in Japan, coming to Japan, visit to Japan"
"落第","らくだい","failure (in an examination), failing to advance (to the next year); falling short of the standard, not making the grade"
"","ラッシュアワー","rush hour"
"欄","らん","section (e.g. in a newspaper), column, page; field (in a form, web page, etc.), blank; handrail, railing, banister, balustrade"
"","ランチ","lunch; (Western-style) single-plate lunch set, plate lunch, lunch set"
"","ランニング","running; tank top"
"乱暴","らんぼう","violence, assault, rowdiness, wildness, running riot; rough (handling, language, etc.), reckless, careless, coarse, rude, unreasonable (e.g. demand), wild (e.g. argument); rape, sexual assault"
"理科","りか","science (inc. mathematics, medicine, etc.), natural science; science department (university), science course; science (as a school subject)"
"利害","りがい","advantages and disadvantages, interests (of parties)"
"","リズム","rhythm"
"","リットル","litre, liter"
"","リボン","ribbon"
"略す","りゃくす","to abbreviate, to omit; to take, to capture"
"流域","りゅういき","drainage basin, catchment basin, river basin, watershed, valley"
"寮","りょう","hostel, dormitory; bureau (government department beneath a ministry under the ritsuryō system); tea-ceremony room; villa"
"両側","りょうがわ","both sides"
"漁師","りょうし","fisherman"
"領収","りょうしゅう","receipt (of money), receiving"
"領事","りょうじ","consul"
"臨時","りんじ","temporary, provisional, interim; special, extraordinary, extra"
"留守番","るすばん","care-taking, house-sitting, house-watching, staying at home; caretaker, house-sitter"
"例外","れいがい","exception"
"零点","れいてん","zero (points, marks), no marks; zero (of a function), root; zero degrees (Celsius), freezing point"
"冷凍","れいとう","freezing, cold storage, refrigeration"
"","レインコート","raincoat, mackintosh, macintosh, trench coat"
"","レクリエーション","recreation; re-creation"
"","レジャー","leisure"
"列島","れっとう","archipelago, chain of islands"
"","レベル","level, standard, amount, degree, grade, rank, class; level (plane), floor, storey (story), layer, stratum; spirit level, (surveyor's) level; minor release sequence number (software versioning); rebel"
"","レポート","report, paper; reportage"
"煉瓦","れんが","brick"
"連合","れんごう","union, alliance, combination; RENGO (Japanese Trade Union Confederation)"
"","レンズ","lens"
"蝋燭","ろうそく","candle"
"録音","ろくおん","(audio) recording"
"","ロッカー","locker; rocker"
"","ロビー","lobby, lounge"
"論ずる","ろんずる","to discuss, to talk about, to deal with (a topic); to argue, to dispute; to take into consideration, to make an issue of"
"ローマ字","ローマじ","Latin alphabet, Roman alphabet; romaji, romanized Japanese, system of transliterating Japanese into the Latin alphabet"
"和英","わえい","Japanese-English; Japanese-English dictionary"
"分かる","わかる","to understand, to comprehend, to grasp, to see, to get, to follow; to become clear, to be known, to be discovered, to be realized, to be realised, to be found out; I know!, I think so too!"
"分かれる","わかれる","to branch, to fork, to diverge; to separate, to split, to divide; to disperse, to scatter"
"若々しい","わかわかしい","youthful, young, young-looking"
"湧く","わく","to well (up), to gush forth (of water), to spring out, to surge; to appear (esp. suddenly) (sweat, tears, etc.); to feel emotions from (joy, bravery, etc.); to hatch (esp. of parasitic insects, etc.)"
"詫びる","わびる","to apologize, to apologise, to make an apology"
"和服","わふく","Japanese clothes"
"割合に","わりあいに","comparatively"
"割り算","わりざん","division"
"割と","わりと","comparatively, relatively, fairly, rather, pretty, unexpectedly"
"割引","わりびき","discount, reduction, rebate; tenths discounted, tenths reduced"
"碗","わん","bowl (ceramic, porcelain); counter for bowls of food or drink"
"椀","わん","bowl (wooden); counter for bowls of food or drink"
"","ワンピース","dress; one-piece (e.g. swimsuit)"
